species	genus	family	order	class	phylum	superkingdom
Macrococcus bohemicus	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Macrococcus caseolyticus	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Macrococcus epidermidis	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Macrococcus goetzii	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mageeibacillus indolicus	Mageeibacillus	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Magnetospirillum bellicus	Magnetospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Magnetospirillum gryphiswaldense	Magnetospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Mangroviflexus xiamenensis	Mangroviflexus	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Marinibaculum pumilum	Marinibaculum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Mariniblastus fucicola	Mariniblastus	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Marinilactibacillus sp. 15R	Marinilactibacillus	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Marinobacterium aestuarii	Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Marinobacterium profundum	Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Marinospirillum minutulum	Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Mariprofundus ferrooxydans	Mariprofundus	Mariprofundaceae	Mariprofundales	Zetaproteobacteria	Proteobacteria	Bacteria
Marmoricola aurantiacus	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Marmoricola pocheonensis	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Marmoricola solisilvae	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Marseilla massiliensis	Marseilla	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Martelella endophytica	Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Martelella limonii	Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Martelella lutilitoris	Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Martelella mediterranea	Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Martelella suaedae	Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Massilia agri	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia albidiflava	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia armeniaca	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia aurea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia brevitalea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia buxea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia dura	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia namucuonensis	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia oculi	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia pinisoli	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia plicata	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia putida	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia sp. NR 4-1	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia sp. WG5	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia tieshanensis	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia timonae	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia umbonata	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia violaceinigra	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massilia yuzhufengensis	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massiliprevotella massiliensis	Massiliprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Massilistercora timonensis	Massilistercora		Clostridiales	Clostridia	Firmicutes	Bacteria
Mediterranea massiliensis	Mediterranea	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Mediterraneibacter glycyrrhizinilyticus	Mediterraneibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Megamonas funiformis	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Megamonas hypermegale	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Megamonas rupellensis	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Megasphaera elsdenii	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Megasphaera hexanoica	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Megasphaera indica	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Megasphaera micronuciformis	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Megasphaera stantonii	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Melghirimyces thermohalophilus	Melghirimyces	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Melioribacter roseus	Melioribacter	Melioribacteraceae	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria
Melittangium boletus	Melittangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Melittangium lichenicola	Melittangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Merdimonas faecis	Merdimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mesobacillus foraminis	Mesobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mesobacillus subterraneus	Mesobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mesorhizobium amorphae	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium australicum	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium chacoense	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium ciceri	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium delmotii	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium hankyongi	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium japonicum	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium loti	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium mediterraneum	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium soli	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium sp. Pch-S	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium sp. WSM1497	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium tamadayense	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mesorhizobium tianshanense	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Metabacillus galliciensis	Metabacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Metabacillus indicus	Metabacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Metabacillus litoralis	Metabacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Metakosakonia massiliensis	Metakosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Metallibacterium scheffleri	Metallibacterium	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Metaprevotella massiliensis	Metaprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Methylacidimicrobium fagopyrum	Methylacidimicrobium				Verrucomicrobia	Bacteria
Methylibium petroleiphilum	Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Methylibium sp. Pch-M	Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Methylobacillus flagellatus	Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylobacillus glycogenes	Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylobacterium aquaticum	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium bullatum	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium cerastii	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium durans	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium fujisawaense	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium goesingense	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium marchantiae	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium soli	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium sp. 17Sr1-1	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium sp. 4-46	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium sp. DM1	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylobacterium sp. WL1	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methyloceanibacter caenitepidi	Methyloceanibacter		Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocella silvestris	Methylocella	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylococcus capsulatus	Methylococcus	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Methylocystis bryophila	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocystis echinoides	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocystis heyeri	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocystis rosea	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylophilus leisingeri	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylophilus methylotrophus	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylophilus sp. TWE2	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylopila oligotropha	Methylopila	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylorubrum extorquens	Methylorubrum	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylorubrum rhodinum	Methylorubrum	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylosarcina lacus	Methylosarcina	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Methylosinus sporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylotenera mobilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylotenera versatilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methyloversatilis discipulorum	Methyloversatilis	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methyloversatilis sp. RAC08	Methyloversatilis	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylovirgula ligni	Methylovirgula	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylovorus glucosotrophus	Methylovorus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylovorus sp. MP688	Methylovorus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Micavibrio aeruginosavorus	Micavibrio			Alphaproteobacteria	Proteobacteria	Bacteria
Microbacterium aureliae	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium esteraromaticum	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium faecale	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium hominis	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium oleivorans	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium phyllosphaerae	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium saccharophilum	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium sp. ABRD_28	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbacterium thalassium	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbulbifer sp. GL-2	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Micrococcus luteus	Micrococcus	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Micrococcus terreus	Micrococcus	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microcoleus sp. PCC 7113	Microcoleus	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
Microlunatus aurantiacus	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microlunatus ginsengisoli	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microlunatus panaciterrae	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microlunatus phosphovorus	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microlunatus sp. KUDC0627	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microvirga aerilata	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga aerophila	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga brassicacearum	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga makkahensis	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga massiliensis	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga ossetica	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga pakistanensis	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga soli	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga sp. 17 mud 1-3	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga subterranea	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Microvirga zambiensis	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Millionella massiliensis	Millionella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Minicystis rosea	Minicystis		Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Miniimonas sp. S16	Miniimonas	Beutenbergiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mitsuaria sp. 7	Mitsuaria		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Mitsuokella jalaludinii	Mitsuokella	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Mitsuokella multacida	Mitsuokella	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Mixta gaviniae	Mixta	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Mizugakiibacter sediminis	Mizugakiibacter	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Mobilicoccus pelagius	Mobilicoccus	Dermatophilaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mobilitalea sibirica	Mobilitalea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mobiluncus curtisii	Mobiluncus	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Modestobacter marinus	Modestobacter	Geodermatophilaceae	Geodermatophilales	Actinobacteria	Actinobacteria	Bacteria
Mogibacterium diversum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Mogibacterium neglectum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Moheibacter sediminis	Moheibacter	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Monoglobus pectinilyticus	Monoglobus		Clostridiales	Clostridia	Firmicutes	Bacteria
Moorea producens	Moorea	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Moraxella atlantae	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella bovis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella bovoculi	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella cuniculi	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella equi	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella lacunata	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella lincolnii	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella nonliquefaciens	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moraxella osloensis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moryella indoligenes	Moryella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Motiliproteus sediminis	Motiliproteus	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Mucibacter soli	Mucibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Mucilaginibacter auburnensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter calamicampi	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter carri	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter composti	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter craterilacus	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter daejeonensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter defluvii	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter dorajii	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter ginsengisoli	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter ginsenosidivorans	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter ginsenosidivorax	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter gotjawali	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter gynuensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter herbaticus	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter hurinus	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter jinjuensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter panaciglaebae	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter pocheonensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter puniceus	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter rigui	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter rubeus	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter sabulilitoris	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter sp. HYN0043	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter sp. PAMC 26640	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter terrigena	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucilaginibacter xinganensis	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucinivorans hirudinis	Mucinivorans	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Murdochiella massiliensis	Murdochiella	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Murdochiella vaginalis	Murdochiella	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Muribaculum intestinale	Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Murimonas intestini	Murimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mycetocola zhadangensis	Mycetocola	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mycoavidus cysteinexigens	Mycoavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Mycoplana ramosa	Mycoplana	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mycoplasma yeatsii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Myxococcus fulvus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Myxococcus hansupus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Nakamurella flavida	Nakamurella	Nakamurellaceae	Nakamurellales	Actinobacteria	Actinobacteria	Bacteria
